ID,RegioS,Perioden,Bevolkingsdichtheid_57
339,PV25,2024JJ00,433
340,PV25,2025JJ00,436
341,PV26,1995JJ00,784
342,PV26,1996JJ00,789
343,PV26,1997JJ00,795
344,PV26,1998JJ00,798
345,PV26,1999JJ00,806
346,PV26,2000JJ00,813
347,PV26,2001JJ00,820
348,PV26,2002JJ00,821
349,PV26,2003JJ00,831
350,PV26,2004JJ00,838
351,PV26,2005JJ00,845
352,PV26,2006JJ00,852
353,PV26,2007JJ00,860
354,PV26,2008JJ00,867
355,PV26,2009JJ00,875
356,PV26,2010JJ00,882
357,PV26,2011JJ00,888
358,PV26,2012JJ00,894
359,PV26,2013JJ00,901
360,PV26,2014JJ00,907
361,PV26,2015JJ00,914
362,PV26,2016JJ00,923
363,PV26,2017JJ00,931
364,PV26,2018JJ00,940
365,PV26,2019JJ00,904
366,PV26,2020JJ00,912
367,PV26,2021JJ00,916
368,PV26,2022JJ00,923
369,PV26,2023JJ00,935
370,PV26,2024JJ00,943
371,PV26,2025JJ00,949
372,PV27,1995JJ00,926
373,PV27,1996JJ00,928
374,PV27,1997JJ00,931
375,PV27,1998JJ00,935
376,PV27,1999JJ00,941
377,PV27,2000JJ00,948
378,PV27,2001JJ00,954
379,PV27,2002JJ00,958
380,PV27,2003JJ00,964
381,PV27,2004JJ00,969
382,PV27,2005JJ00,973
383,PV27,2006JJ00,976
384,PV27,2007JJ00,978
385,PV27,2008JJ00,983
386,PV27,2009JJ00,993
387,PV27,2010JJ00,1001
388,PV27,2011JJ00,1010
389,PV27,2012JJ00,1017
390,PV27,2013JJ00,1023
391,PV27,2014JJ00,1029
392,PV27,2015JJ00,1037
393,PV27,2016JJ00,1046
394,PV27,2017JJ00,1055
395,PV27,2018JJ00,1062
396,PV27,2019JJ00,1071
397,PV27,2020JJ00,1081
398,PV27,2021JJ00,1084
399,PV27,2022JJ00,1093
400,PV27,2023JJ00,1109
401,PV27,2024JJ00,1118
402,PV27,2025JJ00,1124
403,PV28,1995JJ00,1163
404,PV28,1996JJ00,1166
405,PV28,1997JJ00,1167
406,PV28,1998JJ00,1172
407,PV28,1999JJ00,1179
408,PV28,2000JJ00,1185
409,PV28,2001JJ00,1193
410,PV28,2002JJ00,1211
411,PV28,2003JJ00,1221
412,PV28,2004JJ00,1225
413,PV28,2005JJ00,1227
414,PV28,2006JJ00,1229
415,PV28,2007JJ00,1228
416,PV28,2008JJ00,1230
417,PV28,2009JJ00,1239
418,PV28,2010JJ00,1247
419,PV28,2011JJ00,1256
420,PV28,2012JJ00,1265
421,PV28,2013JJ00,1270
422,PV28,2014JJ00,1275
423,PV28,2015JJ00,1283
424,PV28,2016JJ00,1287
425,PV28,2017JJ00,1297
426,PV28,2018JJ00,1311
427,PV28,2019JJ00,1361
428,PV28,2020JJ00,1374
429,PV28,2021JJ00,1380
430,PV28,2022JJ00,1391
431,PV28,2023JJ00,1410
