ID,Regions,Periods,Within10Km_72,Within20Km_73,Within50Km_74,Within10Km_75,Within20Km_76,Within50Km_77,Within10Km_78,Within20Km_79,Within50Km_80,Within10Km_81,Within20Km_82,Within50Km_83,Within10Km_84,Within20Km_85,Within50Km_86
184,PV25,2010JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
185,PV25,2011JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
186,PV25,2012JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
187,PV25,2013JJ00,58.2,166.3,1054.8,0.4,1.6,10.1,8.0,24.6,157.3,26.9,77.8,508.8,22.8,62.2,378.5
188,PV25,2014JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
189,PV25,2015JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
190,PV25,2016JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
191,PV25,2017JJ00,62.3,178.0,1130.9,0.5,1.8,10.7,8.1,24.9,160.5,29.2,84.9,556.1,23.4,63.0,382.4
192,PV25,2018JJ00,64.1,183.6,1167.6,0.5,1.8,10.9,7.9,24.6,160.5,29.9,87.1,568.9,23.7,63.7,386.5
193,PV25,2019JJ00,65.6,188.0,1199.2,0.5,1.9,11.4,8.2,25.6,166.7,30.6,89.2,584.3,24.2,65.3,398.2
194,PV25,2020JJ00,66.2,189.3,1208.2,0.5,2.0,11.8,8.3,25.9,169.6,31.4,91.6,598.2,24.8,66.5,407.5
195,PV25,2021JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
196,PV25,2022JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
197,PV25,2023JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
198,PV26,2006JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
199,PV26,2007JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
200,PV26,2008JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
201,PV26,2009JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
202,PV26,2010JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
203,PV26,2011JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
204,PV26,2012JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
205,PV26,2013JJ00,156.4,408.9,2122.0,0.3,1.4,15.4,12.8,37.0,225.0,84.8,219.7,1197.4,58.6,150.8,684.2
206,PV26,2014JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
207,PV26,2015JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
208,PV26,2016JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
209,PV26,2017JJ00,166.0,431.0,2269.2,0.3,1.4,15.8,13.4,38.3,230.3,88.1,230.3,1281.2,61.8,154.8,703.7
210,PV26,2018JJ00,175.1,452.7,2356.8,0.3,1.5,15.9,13.4,38.4,231.0,93.2,241.7,1322.1,62.7,156.7,708.3
211,PV26,2019JJ00,177.3,459.5,2421.5,0.3,1.5,16.7,13.7,39.0,240.3,94.8,246.4,1359.1,63.9,160.7,734.9
212,PV26,2020JJ00,177.1,457.3,2435.5,0.3,1.6,16.8,13.7,39.3,243.1,95.2,247.0,1385.9,65.0,162.4,746.6
213,PV26,2021JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
214,PV26,2022JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
215,PV26,2023JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
216,PV27,2006JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
217,PV27,2007JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
218,PV27,2008JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
219,PV27,2009JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
220,PV27,2010JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
221,PV27,2011JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
222,PV27,2012JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
223,PV27,2013JJ00,216.8,522.7,1796.6,0.6,2.4,15.0,14.8,44.9,179.5,137.3,323.1,1024.8,64.2,152.3,577.2
224,PV27,2014JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
225,PV27,2015JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
226,PV27,2016JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
227,PV27,2017JJ00,245.8,575.0,1930.2,0.6,2.6,15.3,15.8,45.5,182.0,156.9,360.4,1107.7,68.1,156.0,591.4
228,PV27,2018JJ00,248.3,589.1,1991.3,0.6,2.5,15.2,15.2,45.0,179.7,157.0,365.7,1134.6,66.8,155.2,592.6
229,PV27,2019JJ00,256.7,612.3,2056.5,0.6,2.6,15.6,16.0,47.5,187.4,163.8,382.2,1174.5,69.3,162.4,619.3
230,PV27,2020JJ00,258.3,616.5,2079.8,0.6,2.5,15.8,16.2,47.6,189.5,166.4,389.8,1204.7,69.9,164.3,631.5
231,PV27,2021JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
232,PV27,2022JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
233,PV27,2023JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
234,PV28,2006JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
235,PV28,2007JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
236,PV28,2008JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
237,PV28,2009JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
