"Emissions to air on Dutch territory, road traffic"
""
"","","Topic"
"","","Emissions|Carbon dioxide (CO2)","Emissions|Dinitrogen oxide (N2O)","Emissions|Methane (CH4)","Emissions|Carbon monoxide (CO)","Emissions|NMVOC","Emissions|Nitrogen oxides (NOx)","Emissions|Soot","Emissions|PM10 Total (Particulate matter)","Emissions|PM10 Combustion (Particulate matter)","Emissions|PM10 Wear (Particulate matter)","Emissions|PM2.5 Total (Particulate matter)","Emissions|PM2.5 Combustion (Particulate matter)","Emissions|PM2.5 Wear (Particulate matter)","Emissions|Ammonia (NH3)","Emissions|Sulphur dioxide (SO2)","Fleet emission factor|Carbon dioxide (CO2)","Fleet emission factor|Dinitrogen oxide (N2O)","Fleet emission factor|Methane (CH4)","Fleet emission factor|Carbon monoxide (CO)","Fleet emission factor|NMVOC","Fleet emission factor|Nitrogen oxides (NOx)","Fleet emission factor|Soot","Fleet emission factor|PM10 Total (Particulate matter)","Fleet emission factor|PM10 Combustion (Particulate matter)","Fleet emission factor|PM10 Wear (Particulate matter)","Fleet emission factor|PM2.5 Total (Particulate matter)","Fleet emission factor|PM2.5 Combustion (Particulate matter)","Fleet emission factor|PM2.5 Wear (Particulate matter)","Fleet emission factor|Ammonia (NH3)","Fleet emission factor|Sulphur dioxide (SO2)"
"Means of transport","Periods","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km"
"Motorcycles","2021*","263","0.01","0.07","15.85","1.73","0.67","0.01","0.05","0.03","0.02","0.03","0.03","0.00","0.01","0.00","103","0.002","0.027","6.24","0.68","0.26","0.002","0.018","0.012","0.006","0.013","0.012","0.001","0.002","0.001"
"Motorcycles","2022*","260","0.01","0.06","14.50","1.62","0.62","0.01","0.04","0.03","0.02","0.03","0.03","0.00","0.01","0.00","102","0.002","0.025","5.71","0.64","0.24","0.002","0.017","0.011","0.006","0.012","0.011","0.001","0.002","0.001"
"Motorcycles","2023*","258","0.01","0.06","13.32","1.53","0.57","0.01","0.04","0.03","0.02","0.03","0.03","0.00","0.01","0.00","101","0.002","0.023","5.24","0.60","0.22","0.002","0.017","0.010","0.006","0.011","0.010","0.001","0.002","0.001"
"Total vehicles with moped licence","2017*","83","0.00","0.15","12.81","3.33","0.15","0.01","0.05","0.05","0.00","0.05","0.05","0.00","0.00","0.00","66","0.001","0.122","10.11","2.63","0.12","0.004","0.041","0.038","0.003","0.038","0.038","0.000","0.001","0.001"
"Total vehicles with moped licence","2018*","81","0.00","0.14","12.87","3.00","0.16","0.00","0.04","0.04","0.00","0.04","0.04","0.00","0.00","0.00","64","0.001","0.109","10.15","2.37","0.12","0.004","0.035","0.032","0.003","0.032","0.032","0.000","0.001","0.001"
"Total vehicles with moped licence","2019*","78","0.00","0.12","12.06","2.71","0.15","0.00","0.04","0.03","0.00","0.04","0.03","0.00","0.00","0.00","62","0.001","0.099","9.62","2.16","0.12","0.003","0.031","0.028","0.003","0.028","0.028","0.000","0.001","0.001"
"Total vehicles with moped licence","2020*","75","0.00","0.11","10.84","2.44","0.14","0.00","0.03","0.03","0.00","0.03","0.03","0.00","0.00","0.00","58","0.001","0.086","8.46","1.91","0.11","0.003","0.026","0.023","0.003","0.024","0.023","0.000","0.001","0.001"
"Total vehicles with moped licence","2021*","73","0.00","0.10","9.82","2.30","0.13","0.00","0.03","0.03","0.00","0.03","0.03","0.00","0.00","0.00","55","0.001","0.078","7.41","1.73","0.10","0.002","0.024","0.021","0.003","0.021","0.021","0.000","0.001","0.001"
"Total vehicles with moped licence","2022*","68","0.00","0.09","8.60","1.93","0.11","0.00","0.03","0.02","0.00","0.02","0.02","0.00","0.00","0.00","51","0.001","0.064","6.45","1.45","0.09","0.002","0.020","0.017","0.003","0.017","0.017","0.000","0.001","0.001"
"Total vehicles with moped licence","2023*","62","0.00","0.07","7.44","1.68","0.10","0.00","0.02","0.02","0.00","0.02","0.02","0.00","0.00","0.00","48","0.001","0.057","5.78","1.31","0.08","0.002","0.018","0.015","0.003","0.015","0.015","0.000","0.001","0.001"
