ID,Regions,Periods,MainRoad_4,ParkAndPublicGarden_20
1080,GM1723,1996JJ00,,
1081,GM1723,2000JJ00,154,0
1082,GM1723,2003JJ00,155,0
1083,GM1723,2006JJ00,162,0
1084,GM1723,2008JJ00,159,0
1085,GM1723,2010JJ00,160,0
1086,GM1723,2012JJ00,160,0
1087,GM1723,2015JJ00,159,0
1088,GM1723,2017JJ00,157,0
1089,GM0142,1996JJ00,242,17
1090,GM0142,2000JJ00,241,17
1091,GM0142,2003JJ00,,
1092,GM0142,2006JJ00,,
1093,GM0142,2008JJ00,,
1094,GM0142,2010JJ00,,
1095,GM0142,2012JJ00,,
1096,GM0142,2015JJ00,,
1097,GM0142,2017JJ00,,
1098,GM1679,1996JJ00,105,0
1099,GM1679,2000JJ00,106,0
1100,GM1679,2003JJ00,114,0
1101,GM1679,2006JJ00,114,0
1102,GM1679,2008JJ00,,
1103,GM1679,2010JJ00,,
1104,GM1679,2012JJ00,,
1105,GM1679,2015JJ00,,
1106,GM1679,2017JJ00,,
1107,GM0060,1996JJ00,115,0
1108,GM0060,2000JJ00,117,0
1109,GM0060,2003JJ00,97,0
1110,GM0060,2006JJ00,118,0
1111,GM0060,2008JJ00,100,0
1112,GM0060,2010JJ00,103,0
1113,GM0060,2012JJ00,101,0
1114,GM0060,2015JJ00,100,2
1115,GM0060,2017JJ00,100,2
1116,GM0306,1996JJ00,51,3
1117,GM0306,2000JJ00,51,3
1118,GM0306,2003JJ00,60,3
1119,GM0306,2006JJ00,,
1120,GM0306,2008JJ00,,
1121,GM0306,2010JJ00,,
1122,GM0306,2012JJ00,,
1123,GM0306,2015JJ00,,
1124,GM0306,2017JJ00,,
1125,GM0307,1996JJ00,243,119
1126,GM0307,2000JJ00,320,166
1127,GM0307,2003JJ00,337,139
1128,GM0307,2006JJ00,351,140
1129,GM0307,2008JJ00,356,177
1130,GM0307,2010JJ00,362,190
1131,GM0307,2012JJ00,365,191
1132,GM0307,2015JJ00,364,221
1133,GM0307,2017JJ00,377,230
1134,GM0198,1996JJ00,40,6
1135,GM0198,2000JJ00,,
1136,GM0198,2003JJ00,,
1137,GM0198,2006JJ00,,
1138,GM0198,2008JJ00,,
1139,GM0198,2010JJ00,,
1140,GM0198,2012JJ00,,
1141,GM0198,2015JJ00,,
1142,GM0198,2017JJ00,,
1143,GM0362,1996JJ00,204,75
1144,GM0362,2000JJ00,200,88
1145,GM0362,2003JJ00,215,104
1146,GM0362,2006JJ00,208,146
1147,GM0362,2008JJ00,214,143
1148,GM0362,2010JJ00,210,146
1149,GM0362,2012JJ00,211,200
1150,GM0362,2015JJ00,207,210
1151,GM0362,2017JJ00,211,239
1152,GM0363,1996JJ00,895,1170
1153,GM0363,2000JJ00,953,1205
1154,GM0363,2003JJ00,1000,1361
1155,GM0363,2006JJ00,1023,1392
1156,GM0363,2008JJ00,1043,1343
1157,GM0363,2010JJ00,1030,1331
1158,GM0363,2012JJ00,1022,1484
1159,GM0363,2015JJ00,1086,1530
1160,GM0363,2017JJ00,1099,1520
1161,GM0364,1996JJ00,62,4
1162,GM0364,2000JJ00,65,3
1163,GM0364,2003JJ00,65,3
1164,GM0364,2006JJ00,67,3
1165,GM0364,2008JJ00,67,3
1166,GM0364,2010JJ00,66,3
1167,GM0364,2012JJ00,,
1168,GM0364,2015JJ00,,
1169,GM0364,2017JJ00,,
1170,GM0199,1996JJ00,84,1
1171,GM0199,2000JJ00,81,1
1172,GM0199,2003JJ00,78,2
1173,GM0199,2006JJ00,,
1174,GM0199,2008JJ00,,
1175,GM0199,2010JJ00,,
1176,GM0199,2012JJ00,,
1177,GM0199,2015JJ00,,
1178,GM0199,2017JJ00,,
1179,GM0105,1996JJ00,190,3
1180,GM0105,2000JJ00,,
1181,GM0105,2003JJ00,,
1182,GM0105,2006JJ00,,
1183,GM0105,2008JJ00,,
1184,GM0105,2010JJ00,,
1185,GM0105,2012JJ00,,
1186,GM0105,2015JJ00,,
1187,GM0105,2017JJ00,,
1188,GM0366,1996JJ00,194,18
1189,GM0366,2000JJ00,193,19
1190,GM0366,2003JJ00,181,23
1191,GM0366,2006JJ00,191,18
1192,GM0366,2008JJ00,194,14
1193,GM0366,2010JJ00,186,18
1194,GM0366,2012JJ00,,
1195,GM0366,2015JJ00,,
1196,GM0366,2017JJ00,,
1197,GM0200,1996JJ00,905,239
1198,GM0200,2000JJ00,885,234
1199,GM0200,2003JJ00,886,237
1200,GM0200,2006JJ00,903,238
1201,GM0200,2008JJ00,905,236
1202,GM0200,2010JJ00,931,229
1203,GM0200,2012JJ00,907,244
1204,GM0200,2015JJ00,910,241
1205,GM0200,2017JJ00,907,242
1206,GM0003,1996JJ00,74,22
1207,GM0003,2000JJ00,84,22
1208,GM0003,2003JJ00,91,19
1209,GM0003,2006JJ00,96,29
1210,GM0003,2008JJ00,99,27
1211,GM0003,2010JJ00,103,27
1212,GM0003,2012JJ00,104,27
1213,GM0003,2015JJ00,103,27
1214,GM0003,2017JJ00,101,32
1215,GM0885,1996JJ00,94,19
1216,GM0885,2000JJ00,98,19
1217,GM0885,2003JJ00,90,0
1218,GM0885,2006JJ00,91,0
1219,GM0885,2008JJ00,92,0
1220,GM0885,2010JJ00,,
1221,GM0885,2012JJ00,,
1222,GM0885,2015JJ00,,
1223,GM0885,2017JJ00,,
1224,GM0649,1996JJ00,62,9
1225,GM0649,2000JJ00,,
1226,GM0649,2003JJ00,,
1227,GM0649,2006JJ00,,
1228,GM0649,2008JJ00,,
1229,GM0649,2010JJ00,,
1230,GM0649,2012JJ00,,
1231,GM0649,2015JJ00,,
1232,GM0649,2017JJ00,,
1233,GM0202,1996JJ00,499,458
1234,GM0202,2000JJ00,498,482
1235,GM0202,2003JJ00,508,494
1236,GM0202,2006JJ00,495,489
1237,GM0202,2008JJ00,494,481
1238,GM0202,2010JJ00,503,486
1239,GM0202,2012JJ00,509,491
1240,GM0202,2015JJ00,509,502
1241,GM0202,2017JJ00,503,523
1242,GM0106,1996JJ00,222,203
1243,GM0106,2000JJ00,296,210
1244,GM0106,2003JJ00,297,231
1245,GM0106,2006JJ00,294,157
1246,GM0106,2008JJ00,299,162
1247,GM0106,2010JJ00,315,182
1248,GM0106,2012JJ00,315,184
1249,GM0106,2015JJ00,321,186
1250,GM0106,2017JJ00,301,227
1251,GM0743,1996JJ00,228,5
1252,GM0743,2000JJ00,239,2
1253,GM0743,2003JJ00,242,25
1254,GM0743,2006JJ00,245,26
1255,GM0743,2008JJ00,244,25
1256,GM0743,2010JJ00,244,25
1257,GM0743,2012JJ00,243,25
1258,GM0743,2015JJ00,242,25
1259,GM0743,2017JJ00,243,25
1260,GM0143,1996JJ00,189,14
1261,GM0143,2000JJ00,186,15
1262,GM0143,2003JJ00,,
1263,GM0143,2006JJ00,,
1264,GM0143,2008JJ00,,
1265,GM0143,2010JJ00,,
1266,GM0143,2012JJ00,,
1267,GM0143,2015JJ00,,
1268,GM0143,2017JJ00,,
1269,GM0650,1996JJ00,232,26
1270,GM0650,2000JJ00,248,29
1271,GM0650,2003JJ00,,
1272,GM0650,2006JJ00,,
1273,GM0650,2008JJ00,,
1274,GM0650,2010JJ00,,
1275,GM0650,2012JJ00,,
1276,GM0650,2015JJ00,,
1277,GM0650,2017JJ00,,
1278,GM0744,1996JJ00,96,0
1279,GM0744,2000JJ00,107,0
1280,GM0744,2003JJ00,106,0
1281,GM0744,2006JJ00,107,1
1282,GM0744,2008JJ00,107,1
1283,GM0744,2010JJ00,105,0
1284,GM0744,2012JJ00,103,0
1285,GM0744,2015JJ00,100,0
1286,GM0744,2017JJ00,104,0
1287,GM0308,1996JJ00,111,30
1288,GM0308,2000JJ00,107,40
1289,GM0308,2003JJ00,107,43
1290,GM0308,2006JJ00,107,42
1291,GM0308,2008JJ00,109,42
1292,GM0308,2010JJ00,109,42
1293,GM0308,2012JJ00,106,43
1294,GM0308,2015JJ00,106,43
1295,GM0308,2017JJ00,105,42
1296,GM0745,1996JJ00,127,4
1297,GM0745,2000JJ00,,
1298,GM0745,2003JJ00,,
1299,GM0745,2006JJ00,,
1300,GM0745,2008JJ00,,
1301,GM0745,2010JJ00,,
1302,GM0745,2012JJ00,,
1303,GM0745,2015JJ00,,
1304,GM0745,2017JJ00,,
1305,GM0489,1996JJ00,186,27
1306,GM0489,2000JJ00,172,28
1307,GM0489,2003JJ00,181,55
1308,GM0489,2006JJ00,179,57
1309,GM0489,2008JJ00,190,89
1310,GM0489,2010JJ00,187,118
1311,GM0489,2012JJ00,168,119
1312,GM0489,2015JJ00,195,137
1313,GM0489,2017JJ00,198,183
1314,GM0203,1996JJ00,489,19
1315,GM0203,2000JJ00,487,20
1316,GM0203,2003JJ00,492,28
1317,GM0203,2006JJ00,495,24
1318,GM0203,2008JJ00,498,21
1319,GM0203,2010JJ00,505,19
1320,GM0203,2012JJ00,502,26
1321,GM0203,2015JJ00,492,33
1322,GM0203,2017JJ00,499,42
1323,GM0144,1996JJ00,104,0
1324,GM0144,2000JJ00,99,0
1325,GM0144,2003JJ00,100,3
1326,GM0144,2006JJ00,,
1327,GM0144,2008JJ00,,
1328,GM0144,2010JJ00,,
1329,GM0144,2012JJ00,,
1330,GM0144,2015JJ00,,
1331,GM0144,2017JJ00,,
1332,GM0005,1996JJ00,100,3
1333,GM0005,2000JJ00,100,5
1334,GM0005,2003JJ00,99,9
1335,GM0005,2006JJ00,100,10
1336,GM0005,2008JJ00,107,8
1337,GM0005,2010JJ00,107,10
1338,GM0005,2012JJ00,105,10
1339,GM0005,2015JJ00,103,10
1340,GM0005,2017JJ00,101,10
1341,GM0888,1996JJ00,103,31
1342,GM0888,2000JJ00,101,31
1343,GM0888,2003JJ00,101,11
1344,GM0888,2006JJ00,102,11
1345,GM0888,2008JJ00,103,10
1346,GM0888,2010JJ00,104,10
1347,GM0888,2012JJ00,103,10
1348,GM0888,2015JJ00,101,10
1349,GM0888,2017JJ00,104,15
1350,GM0746,1996JJ00,49,25
1351,GM0746,2000JJ00,,
1352,GM0746,2003JJ00,,
1353,GM0746,2006JJ00,,
1354,GM0746,2008JJ00,,
1355,GM0746,2010JJ00,,
1356,GM0746,2012JJ00,,
1357,GM0746,2015JJ00,,
1358,GM0746,2017JJ00,,
1359,GM0370,1996JJ00,289,0
1360,GM0370,2000JJ00,286,0
1361,GM0370,2003JJ00,283,2
1362,GM0370,2006JJ00,280,2
1363,GM0370,2008JJ00,284,2
1364,GM0370,2010JJ00,283,2
1365,GM0370,2012JJ00,274,2
1366,GM0370,2015JJ00,273,2
1367,GM0370,2017JJ00,273,7
1368,GM0889,1996JJ00,63,1
1369,GM0889,2000JJ00,63,2
1370,GM0889,2003JJ00,60,3
1371,GM0889,2006JJ00,60,2
1372,GM0889,2008JJ00,92,2
1373,GM0889,2010JJ00,93,4
1374,GM0889,2012JJ00,90,4
1375,GM0889,2015JJ00,89,4
1376,GM0889,2017JJ00,88,4
1377,GM0107,1996JJ00,438,15
1378,GM0107,2000JJ00,,
1379,GM0107,2003JJ00,,
1380,GM0107,2006JJ00,,
1381,GM0107,2008JJ00,,
1382,GM0107,2010JJ00,,
1383,GM0107,2012JJ00,,
1384,GM0107,2015JJ00,,
1385,GM0107,2017JJ00,,
1386,GM0890,1996JJ00,42,3
1387,GM0890,2000JJ00,43,3
1388,GM0890,2003JJ00,,
1389,GM0890,2006JJ00,,
1390,GM0890,2008JJ00,,
1391,GM0890,2010JJ00,,
1392,GM0890,2012JJ00,,
1393,GM0890,2015JJ00,,
1394,GM0890,2017JJ00,,
1395,GM0007,1996JJ00,260,18
1396,GM0007,2000JJ00,259,19
1397,GM0007,2003JJ00,268,23
1398,GM0007,2006JJ00,266,22
1399,GM0007,2008JJ00,267,22
1400,GM0007,2010JJ00,269,22
1401,GM0007,2012JJ00,264,22
1402,GM0007,2015JJ00,263,22
1403,GM0007,2017JJ00,264,28
1404,GM0206,1996JJ00,127,15
1405,GM0206,2000JJ00,111,28
1406,GM0206,2003JJ00,,
1407,GM0206,2006JJ00,,
1408,GM0206,2008JJ00,,
1409,GM0206,2010JJ00,,
1410,GM0206,2012JJ00,,
1411,GM0206,2015JJ00,,
1412,GM0206,2017JJ00,,
1413,GM0372,1996JJ00,4,2
1414,GM0372,2000JJ00,4,0
1415,GM0372,2003JJ00,5,0
1416,GM0372,2006JJ00,5,0
1417,GM0372,2008JJ00,5,3
1418,GM0372,2010JJ00,,
1419,GM0372,2012JJ00,,
1420,GM0372,2015JJ00,,
1421,GM0372,2017JJ00,,
1422,GM1945,1996JJ00,,
1423,GM1945,2000JJ00,,
1424,GM1945,2003JJ00,,
1425,GM1945,2006JJ00,,
1426,GM1945,2008JJ00,,
1427,GM1945,2010JJ00,,
1428,GM1945,2012JJ00,,
1429,GM1945,2015JJ00,,
1430,GM1945,2017JJ00,189,27
1431,GM0491,1996JJ00,62,4
1432,GM0491,2000JJ00,61,7
1433,GM0491,2003JJ00,59,3
1434,GM0491,2006JJ00,59,3
1435,GM0491,2008JJ00,61,3
1436,GM0491,2010JJ00,62,3
1437,GM0491,2012JJ00,60,3
1438,GM0491,2015JJ00,,
1439,GM0491,2017JJ00,,
1440,GM1724,1996JJ00,,
1441,GM1724,2000JJ00,169,2
1442,GM1724,2003JJ00,171,18
1443,GM1724,2006JJ00,171,18
1444,GM1724,2008JJ00,176,17
1445,GM1724,2010JJ00,175,15
1446,GM1724,2012JJ00,170,15
1447,GM1724,2015JJ00,165,16
1448,GM1724,2017JJ00,164,16
1449,GM0893,1996JJ00,228,16
1450,GM0893,2000JJ00,228,16
1451,GM0893,2003JJ00,230,17
1452,GM0893,2006JJ00,231,17
1453,GM0893,2008JJ00,231,12
1454,GM0893,2010JJ00,226,11
1455,GM0893,2012JJ00,217,14
1456,GM0893,2015JJ00,213,16
1457,GM0893,2017JJ00,208,14
1458,GM0373,1996JJ00,59,12
1459,GM0373,2000JJ00,59,12
1460,GM0373,2003JJ00,185,50
1461,GM0373,2006JJ00,186,46
1462,GM0373,2008JJ00,187,37
1463,GM0373,2010JJ00,182,33
1464,GM0373,2012JJ00,180,33
1465,GM0373,2015JJ00,187,33
1466,GM0373,2017JJ00,185,31
1467,GM0748,1996JJ00,153,62
1468,GM0748,2000JJ00,275,93
1469,GM0748,2003JJ00,272,125
1470,GM0748,2006JJ00,282,149
1471,GM0748,2008JJ00,292,149
1472,GM0748,2010JJ00,292,134
1473,GM0748,2012JJ00,285,141
1474,GM0748,2015JJ00,302,143
1475,GM0748,2017JJ00,308,131
1476,GM0749,1996JJ00,81,1
1477,GM0749,2000JJ00,,
1478,GM0749,2003JJ00,,
1479,GM0749,2006JJ00,,
1480,GM0749,2008JJ00,,
1481,GM0749,2010JJ00,,
1482,GM0749,2012JJ00,,
1483,GM0749,2015JJ00,,
1484,GM0749,2017JJ00,,
1485,GM0207,1996JJ00,181,2
1486,GM0207,2000JJ00,181,2
1487,GM0207,2003JJ00,185,17
1488,GM0207,2006JJ00,,
1489,GM0207,2008JJ00,,
1490,GM0207,2010JJ00,,
1491,GM0207,2012JJ00,,
1492,GM0207,2015JJ00,,
1493,GM0207,2017JJ00,,
1494,GM0492,1996JJ00,52,7
1495,GM0492,2000JJ00,53,6
1496,GM0492,2003JJ00,57,11
1497,GM0492,2006JJ00,64,11
1498,GM0492,2008JJ00,,
1499,GM0492,2010JJ00,,
1500,GM0492,2012JJ00,,
1501,GM0492,2015JJ00,,
1502,GM0492,2017JJ00,,
1503,GM0493,1996JJ00,55,9
1504,GM0493,2000JJ00,56,10
1505,GM0493,2003JJ00,58,17
1506,GM0493,2006JJ00,54,17
1507,GM0493,2008JJ00,,
1508,GM0493,2010JJ00,,
1509,GM0493,2012JJ00,,
1510,GM0493,2015JJ00,,
1511,GM0493,2017JJ00,,
1512,GM0751,1996JJ00,97,6
1513,GM0751,2000JJ00,,
1514,GM0751,2003JJ00,,
1515,GM0751,2006JJ00,,
1516,GM0751,2008JJ00,,
1517,GM0751,2010JJ00,,
1518,GM0751,2012JJ00,,
1519,GM0751,2015JJ00,,
1520,GM0751,2017JJ00,,
1521,GM1859,1996JJ00,,
1522,GM1859,2000JJ00,,
1523,GM1859,2003JJ00,,
1524,GM1859,2006JJ00,704,67
1525,GM1859,2008JJ00,703,64
1526,GM1859,2010JJ00,717,62
1527,GM1859,2012JJ00,715,61
1528,GM1859,2015JJ00,700,63
1529,GM1859,2017JJ00,697,69
1530,GM1721,1996JJ00,293,20
1531,GM1721,2000JJ00,294,22
1532,GM1721,2003JJ00,293,22
1533,GM1721,2006JJ00,314,25
1534,GM1721,2008JJ00,324,24
1535,GM1721,2010JJ00,326,21
1536,GM1721,2012JJ00,326,21
1537,GM1721,2015JJ00,326,20
1538,GM1721,2017JJ00,340,25
1539,GM0568,1996JJ00,211,12
1540,GM0568,2000JJ00,210,12
1541,GM0568,2003JJ00,206,8
1542,GM0568,2006JJ00,208,7
1543,GM0568,2008JJ00,207,7
1544,GM0568,2010JJ00,202,7
1545,GM0568,2012JJ00,189,16
1546,GM0568,2015JJ00,,
1547,GM0568,2017JJ00,,
1548,GM0753,1996JJ00,186,2
1549,GM0753,2000JJ00,163,6
1550,GM0753,2003JJ00,189,27
1551,GM0753,2006JJ00,197,37
1552,GM0753,2008JJ00,199,37
1553,GM0753,2010JJ00,198,56
1554,GM0753,2012JJ00,194,56
1555,GM0753,2015JJ00,194,56
1556,GM0753,2017JJ00,191,56
1557,GM0209,1996JJ00,224,30
1558,GM0209,2000JJ00,226,33
1559,GM0209,2003JJ00,223,41
1560,GM0209,2006JJ00,224,42
1561,GM0209,2008JJ00,224,38
1562,GM0209,2010JJ00,220,41
1563,GM0209,2012JJ00,222,41
1564,GM0209,2015JJ00,222,41
1565,GM0209,2017JJ00,220,59
1566,GM0375,1996JJ00,95,96
1567,GM0375,2000JJ00,97,94
1568,GM0375,2003JJ00,95,58
1569,GM0375,2006JJ00,100,73
1570,GM0375,2008JJ00,102,64
1571,GM0375,2010JJ00,100,56
1572,GM0375,2012JJ00,106,68
1573,GM0375,2015JJ00,106,68
1574,GM0375,2017JJ00,106,113
1575,GM0063,1996JJ00,169,0
1576,GM0063,2000JJ00,162,0
1577,GM0063,2003JJ00,174,0
1578,GM0063,2006JJ00,170,1
1579,GM0063,2008JJ00,165,6
1580,GM0063,2010JJ00,186,6
1581,GM0063,2012JJ00,178,7
1582,GM0063,2015JJ00,169,7
1583,GM0063,2017JJ00,162,7
1584,GM0310,1996JJ00,82,103
1585,GM0310,2000JJ00,82,103
1586,GM0310,2003JJ00,169,70
1587,GM0310,2006JJ00,172,82
1588,GM0310,2008JJ00,173,61
1589,GM0310,2010JJ00,174,58
1590,GM0310,2012JJ00,171,55
1591,GM0310,2015JJ00,169,56
1592,GM0310,2017JJ00,171,67
1593,GM0585,1996JJ00,197,29
1594,GM0585,2000JJ00,195,36
1595,GM0585,2003JJ00,227,41
1596,GM0585,2006JJ00,236,45
1597,GM0585,2008JJ00,301,49
1598,GM0585,2010JJ00,293,46
1599,GM0585,2012JJ00,284,56
1600,GM0585,2015JJ00,284,56
1601,GM0585,2017JJ00,280,59
1602,GM1728,1996JJ00,,
1603,GM1728,2000JJ00,166,19
1604,GM1728,2003JJ00,165,28
1605,GM1728,2006JJ00,169,31
1606,GM1728,2008JJ00,167,25
1607,GM1728,2010JJ00,166,27
1608,GM1728,2012JJ00,165,27
1609,GM1728,2015JJ00,173,27
1610,GM1728,2017JJ00,175,27
1611,GM0754,1996JJ00,69,13
1612,GM0754,2000JJ00,,
1613,GM0754,2003JJ00,,
1614,GM0754,2006JJ00,,
1615,GM0754,2008JJ00,,
1616,GM0754,2010JJ00,,
1617,GM0754,2012JJ00,,
1618,GM0754,2015JJ00,,
1619,GM0754,2017JJ00,,
1620,GM0376,1996JJ00,58,29
1621,GM0376,2000JJ00,64,28
1622,GM0376,2003JJ00,67,26
1623,GM0376,2006JJ00,60,28
1624,GM0376,2008JJ00,61,27
1625,GM0376,2010JJ00,61,26
1626,GM0376,2012JJ00,60,26
1627,GM0376,2015JJ00,57,28
1628,GM0376,2017JJ00,56,30
1629,GM0495,1996JJ00,85,0
1630,GM0495,2000JJ00,85,0
1631,GM0495,2003JJ00,87,0
1632,GM0495,2006JJ00,95,0
1633,GM0495,2008JJ00,,
1634,GM0495,2010JJ00,,
1635,GM0495,2012JJ00,,
1636,GM0495,2015JJ00,,
1637,GM0495,2017JJ00,,
1638,GM0377,1996JJ00,81,37
1639,GM0377,2000JJ00,78,35
1640,GM0377,2003JJ00,75,15
1641,GM0377,2006JJ00,72,15
1642,GM0377,2008JJ00,73,14
1643,GM0377,2010JJ00,81,19
1644,GM0377,2012JJ00,79,23
1645,GM0377,2015JJ00,79,23
1646,GM0377,2017JJ00,78,108
1647,GM0055,1996JJ00,372,8
1648,GM0055,2000JJ00,373,8
1649,GM0055,2003JJ00,374,13
1650,GM0055,2006JJ00,373,14
1651,GM0055,2008JJ00,378,14
1652,GM0055,2010JJ00,385,16
1653,GM0055,2012JJ00,345,19
1654,GM0055,2015JJ00,,
1655,GM0055,2017JJ00,,
1656,GM0497,1996JJ00,135,4
1657,GM0497,2000JJ00,131,5
1658,GM0497,2003JJ00,135,8
1659,GM0497,2006JJ00,147,7
1660,GM0497,2008JJ00,153,7
1661,GM0497,2010JJ00,160,6
1662,GM0497,2012JJ00,,
1663,GM0497,2015JJ00,,
1664,GM0497,2017JJ00,,
1665,GM1901,1996JJ00,,
1666,GM1901,2000JJ00,,
1667,GM1901,2003JJ00,,
1668,GM1901,2006JJ00,,
1669,GM1901,2008JJ00,,
1670,GM1901,2010JJ00,,
1671,GM1901,2012JJ00,263,18
1672,GM1901,2015JJ00,264,23
1673,GM1901,2017JJ00,268,22
1674,GM0755,1996JJ00,95,0
1675,GM0755,2000JJ00,94,0
1676,GM0755,2003JJ00,97,0
1677,GM0755,2006JJ00,96,0
1678,GM0755,2008JJ00,96,0
1679,GM0755,2010JJ00,96,0
1680,GM0755,2012JJ00,93,0
1681,GM0755,2015JJ00,93,0
1682,GM0755,2017JJ00,93,5
1683,GM0009,1996JJ00,102,0
1684,GM0009,2000JJ00,101,0
1685,GM0009,2003JJ00,100,0
1686,GM0009,2006JJ00,101,10
