;1996;2000;2003;2006;2008;2010;2012;2015;2017
GM1681;('', '');('547', '27');('553', '28');('545', '27');('543', '40');('558', '37');('560', '38');('554', '43')
GM0897;('100', '0');('104', '0');('', '');('', '');('', '');('', '');('', '');('', '')
Zeeland;('200', '108');('201', '112');('216', '92');('205', '97');('206', '91');('207', '88');('187', '78');('182', '78')
GM0499;('49', '5');('62', '7');('57', '9');('57', '7');('60', '6');('63', '6');('64', '5');('', '')
GM0756;('200', '15');('321', '17');('327', '19');('330', '21');('334', '21');('336', '22');('338', '21');('336', '21')
GM0212;('121', '13');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0194;('280', '7');('275', '7');('', '');('', '');('', '');('', '');('', '');('', '')
GM0311;('170', '16');('169', '17');('168', '15');('177', '21');('184', '22');('168', '25');('', '');('', '')
GM0501;('162', '27');('156', '20');('158', '20');('164', '38');('160', '41');('157', '41');('145', '44');('144', '51')
GM0898;('27', '0');('28', '0');('', '');('', '');('', '');('', '');('', '');('', '')
GM0656;('176', '9');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0657;('105', '7');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0759;('102', '14');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0381;('27', '28');('29', '28');('30', '23');('28', '24');('30', '21');('30', '21');('29', '21');('29', '21')
GM0760;('56', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0611;('175', '0');('167', '0');('193', '0');('201', '0');('201', '0');('201', '0');('205', '0');('203', '0')
GM1684;('224', '14');('222', '22');('226', '16');('229', '24');('236', '25');('233', '22');('225', '26');('224', '26')
GM0110;('200', '11');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0065;('205', '27');('207', '29');('209', '24');('208', '23');('211', '23');('', '');('', '');('', '')
GM0010;('350', '134');('355', '128');('357', '148');('374', '155');('367', '148');('372', '153');('361', '153');('360', '157')
GM0149;('205', '4');('201', '4');('', '');('', '');('', '');('', '');('', '');('', '')
GM0218;('152', '4');('150', '4');('151', '7');('', '');('', '');('', '');('', '');('', '')
GM0151;('62', '13');('62', '13');('', '');('', '');('', '');('', '');('', '');('', '')
GM0152;('118', '8');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0763;('48', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0111;('111', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0764;('136', '4');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0219;('40', '7');('42', '9');('42', '9');('', '');('', '');('', '');('', '');('', '')
GM0504;('176', '0');('183', '0');('185', '0');('187', '0');('190', '1');('180', '1');('172', '0');('', '')
GM0220;('75', '0');('77', '0');('', '');('', '');('', '');('', '');('', '');('', '')
GM0660;('59', '42');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0058;('500', '54');('510', '54');('493', '55');('477', '58');('461', '56');('465', '54');('453', '57');('413', '59')
GM0315;('41', '28');('41', '28');('43', '42');('', '');('', '');('', '');('', '');('', '')
GM0316;('63', '72');('62', '73');('61', '34');('', '');('', '');('', '');('', '');('', '')
GM0767;('110', '5');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0662;('175', '2');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0769;('140', '10');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0112;('123', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0902;('183', '1');('208', '2');('', '');('', '');('', '');('', '');('', '');('', '')
GM0227;('155', '0');('155', '0');('', '');('', '');('', '');('', '');('', '');('', '')
GM1711;('', '');('', '');('333', '6');('317', '6');('319', '9');('321', '27');('326', '32');('323', '32')
GM0385;('62', '33');('60', '33');('58', '43');('58', '45');('59', '44');('60', '44');('54', '44');('54', '44')
GM0113;('53', '9');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM1651;('426', '23');('425', '23');('401', '20');('446', '20');('420', '29');('431', '28');('415', '23');('416', '23')
GM0357;('55', '3');('55', '3');('', '');('', '');('', '');('', '');('', '');('', '')
GM0229;('287', '6');('287', '9');('289', '29');('', '');('', '');('', '');('', '');('', '')
GM0905;('107', '10');('101', '11');('102', '11');('104', '11');('108', '11');('106', '11');('', '');('', '')
GM1903;('', '');('', '');('', '');('', '');('', '');('', '');('222', '11');('222', '11')
GM0231;('146', '15');('112', '15');('', '');('', '');('', '');('', '');('', '');('', '')
GM0777;('171', '36');('204', '45');('216', '66');('214', '57');('215', '56');('217', '59');('217', '74');('208', '79')
GM0068;('223', '9');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM1722;('', '');('227', '9');('256', '3');('234', '3');('237', '3');('240', '3');('230', '3');('217', '3')
GM0778;('195', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
